LED20,LED,RC4,Output indicator for A20 or B20.
LED200,LED,n/a,main power LED.
LEDR11,LED Resistor,RC3,LED resistor for A11 or B11.
LEDR12,LED Resistor,RC2,LED resistor for A12 or B12.
LEDR13,LED Resistor,RC1,LED resistor for A13 or B13.
LEDR14,LED Resistor,RC0,LED resistor for A14 or B14.
LEDR15,LED Resistor,RB5,LED resistor for A15 or B15.
LEDR16,LED Resistor,RB4,LED resistor for A16 or B16.
LEDR17,LED Resistor,RA5,LED resistor for A17 or B17.
LEDR18,LED Resistor,RA1,LED resistor for A18 or B18.
LEDR19,LED Resistor,RC5,LED resistor for A19 or B19.
LEDR20,LED Resistor,RC4,LED resistor for A20 or B20.
LEDRESEXTRA,LED Resistor,n/a,LED resistor for the extra power LED.
LEDRESMAIN,LED Resistor,n/a,LED resistor for the main power LED.
M41T00,IC,,Real time clock chip TIMER
MAX RS232,IC,,hardware communication transciever between TTL 
MAX6674,IC,,Type K thermocouple chip
OPTION,Resistor,MCLR,This is a 'buffer' to protect the programmer ususally 100-470 ohms
OUTPUT1-1,Output/Terminal,RC3,Low side drive power out.
OUTPUT1-10,Output/Terminal,RB5,A15 or B15 FET low side drive.
OUTPUT1-2,Output/Terminal,RC3,A11 or B11 FET low side drive.
OUTPUT1-3,Output/Terminal,RC2,Low side drive power out.
OUTPUT1-4,Output/Terminal,RC2,A12 or B12 FET low side drive.
OUTPUT1-5,Output/Terminal,RC1,Low side drive power out.
OUTPUT1-6,Output/Terminal,RC1,A13 or B13 FET low side drive.
OUTPUT1-7,Output/Terminal,RC0,Low side drive power out.
OUTPUT1-8,Output/Terminal,RC0,A14 or B14 FET low side drive.
OUTPUT1-9,Output/Terminal,RB5,Low side drive power out.
OUTPUT2-1,Output/Terminal,RB4,Low side drive power out.
OUTPUT2-10,Output/Terminal,RC4,A20 or B20 FET low side drive.
OUTPUT2-2,Output/Terminal,RB4,A16 or B16 FET low side drive.
OUTPUT2-3,Output/Terminal,RA5,Low side drive power out.
OUTPUT2-4,Output/Terminal,RA5,A17 or B17 FET low side drive.
OUTPUT2-5,Output/Terminal,RA1,Low side drive power out.
OUTPUT2-6,Output/Terminal,RA1,A18 or B18 FET low side drive.
OUTPUT2-7,Output/Terminal,RC5,Low side drive power out.
OUTPUT2-8,Output/Terminal,RC5,A19 or B19 FET low side drive.
OUTPUT2-9,Output/Terminal,RC4,Low side drive power out.
PDR11,Resistor,RC3,RC3/SCK/ SCK on MAX232 chip/ Manual input to TR-A11 or TR-B11
PDR12,Resistor,RC2,RC2/ Manual input to TR-A12 or TR-B12
PDR13,Resistor,RC1,RC1/ Manual input to TR-A13 or TR-B13
PDR14,Resistor,RC0,RC0/ Manual input to TR-A14 or TR-B14
PDR15,Resistor,RB5,RB5/ Manual input to TR-A15 or TR-B15
PDR16,Resistor,RB4,RB4/ jumper connection B4SER to use serial jumper/ Manual input to TR-A16 or TR-B16
PDR17,Resistor,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17
PDR18,Resistor,RA1,RA1/ IN/OUT/OW (One wire with power and gnd)/ R2out on MAX232/ Manual input to TR-A18 or TR-B18
PDR19,Resistor,RC5,RC5/ Manual input to TR-A19 or TR-B19
PDR20,Resistor,RC4,RC4/ SO on MAX6674 T/C chip/ Manual input to TR-A20 or TR-B20
PIC18F2580,Microcontroller,n/a,The main microcontroller for all pin mapping.
Polyfuse1,.9Amp polyfuse,,fuse for TR-A11
Polyfuse10,.9Amp polyfuse,,fuse for TR-A20
Polyfuse11,.9Amp polyfuse,,fuse for VR3 or VR4 extra power
Polyfuse12,.9Amp polyfuse,,fuse for VR1 or VR2 main power
Polyfuse2,.9Amp polyfuse,,fuse for TR-A12
Polyfuse3,.9Amp polyfuse,,fuse for TR-A13
Polyfuse4,.9Amp polyfuse,,fuse for TR-A14
Polyfuse5,.9Amp polyfuse,,fuse for TR-A15
Polyfuse6,.9Amp polyfuse,,fuse for TR-A16
Polyfuse7,.9Amp polyfuse,,fuse for TR-A17
Polyfuse8,.9Amp polyfuse,,fuse for TR-A18
Polyfuse9,.9Amp polyfuse,,fuse for TR-A19
PUOR11,Resistor,RC3,Pull up output resistor for A11 or B11.
PUOR12,Resistor,RC2,Pull up output resistor for A12 or B12.
PUOR13,Resistor,RC1,Pull up output resistor for A13 or B13.
PUOR14,Resistor,RC0,Pull up output resistor for A14 or B14.
PUOR15,Resistor,RB5,Pull up output resistor for A15 or B15.
PUOR16,Resistor,RB4,Pull up output resistor for A16 or B16.
PUOR17,Resistor,RA5,Pull up output resistor for A17 or B17.
PUOR18,Resistor,RA1,Pull up output resistor for A18 or B18.
PUOR19,Resistor,RC5,Pull up output resistor for A19 or B19.
PUOR20,Resistor,RC4,Pull up output resistor for A20 or B20.
PUR1,Resistor,RB7,RB7/ ICD_DAT/ T1IN on MAX232
PUR10,Resistor,RC7,RC7/ R1out MAX232
PUR11,Resistor,RC3,RC3/SCK/ SCK on MAX232 chip/ Manual input to TR-A11 or TR-B11
PUR12,Resistor,RC2,RC2/ Manual input to TR-A12 or TR-B12
PUR13,Resistor,RC1,RC1/ Manual input to TR-A13 or TR-B13
PUR14,Resistor,RC0,RC0/ Manual input to TR-A14 or TR-B14
PUR15,Resistor,RB5,RB5/ Manual input to TR-A15 or TR-B15
PUR16,Resistor,RB4,RB4/ jumper connection B4SER to use serial jumper/ Manual input to TR-A16 or TR-B16
PUR17,Resistor,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17
PUR18,Resistor,RA1,RA1/ IN/OUT/OW (One wire with power and gnd)/ R2out on MAX232/ Manual input to TR-A18 or TR-B18
PUR19,Resistor,RC5,RC5/ Manual input to TR-A19 or TR-B19
PUR2,Resistor,RB6,RB6/ ICD_CLK
PUR20,Resistor,RC4,RC4/ SO on MAX6674 T/C chip/ Manual input to TR-A20 or TR-B20
PUR3,Resistor,RA4,RA4/T0CKI
PUR4,Resistor,RA3,RA3/AN3/ CS for max6674
PUR5,Resistor,RA2,RA2/AN2/ T2in MAX232
PUR6,Resistor,RB1,RB1/ SCL for timer or memory chips
PUR7,Resistor,RB3,RB3/ SDA for timer or memory chips
PUR8,Resistor,RA0,RA0
PUR9,Resistor,RC6,RC6/ jumper connection C6SER to use SERIAL jumper
Q22,Crystal/Oscillator,n/a,to RTC Chip.
RC1/RC2/RC3/RC4/RC5,capacitor,n/a,capacitors used by MAX232 chip 1uF
Ref Des / Part Name,Type,Pin Number,Description
RESET,Jumper/Connector,MCLR,pull to gnd (short these pins) to reset PIC
RS232PWR,Jumper/Connector,n/a,power generated by MAX232 +/-/GND
SER1,Serial,RB7,RB7/ ICD_DAT/ T1IN on MAX232
SER10,Serial,RC7,RC7/ R1out MAX232
SER11,Serial,RC3,RC3/SCK/ SCK on MAX232 chip/ Manual input to TR-A11 or TR-B11
SER12,Serial,RC2,RC2/ Manual input to TR-A12 or TR-B12
SER13,Serial,RC1,RC1/ Manual input to TR-A13 or TR-B13
SER14,Serial,RC0,RC0/ Manual input to TR-A14 or TR-B14
SER15,Serial,RB5,RB5/ Manual input to TR-A15 or TR-B15
SER16,Serial,RB4,RB4/ jumper connection B4SER to use serial jumper/ Manual input to TR-A16 or TR-B16
SER17,Serial,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17
SER18,Serial,RA1,RA1/ IN/OUT/OW (One wire with power and gnd)/ R2out on MAX232/ Manual input to TR-A18 or TR-B18
SER19,Serial,RC5,RC5/ Manual input to TR-A19 or TR-B19
SER2,Serial,RB6,RB6/ ICD_CLK
SER20,Serial,RC4,RC4/ SO on MAX6674 T/C chip/ Manual input to TR-A20 or TR-B20
SER3,Serial,RA4,RA4/T0CKI
SER4,Serial,RA3,RA3/AN3/ CS for max6674
SER5,Serial,RA2,RA2/AN2/ T2in MAX232
SER6,Serial,RB1,RB1/ SCL for timer or memory chips
SER7,Serial,RB3,RB3/ SDA for timer or memory chips
SER8,Serial,RA0,RA0
SER9,Serial,RC6,RC6/ jumper connection C6SER to use SERIAL jumper
SERIAL,Jumper/Connector,RC6/RB4 ,jumper out to serial device(like display)
SERINV,Jumper/Connector,RC6/RB4 ,
SERPDR,Resistor,RC6/RB4 ,10k pull down for gate of serial FET TR-A111
SERPUR,Resistor,RC6/RB4 ,10k pull up resistor for collector of fet TR-A111
SERSER,Resistor,RC6/RB4 ,resistor to gate of serial FET TR-A111
SOURCE,Jumper/Connector,,choose external(5-??Volts) or internal 5V high side to drive loads
TC BYPASS,Capacitor,,.1uF bypass for TC chip noise reduction
TC-1/TC-2,Jumper/Connector,,connector for thermocouple
TIMER BYPASS,Capacitor,,.1uF bypass for real time clock chip noise reduction
TR-A11/TR-B11,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A11/TR-B11
TR-A111,Transistor/Part,RC6/RB4,MOSFET to invert TTL serial output via C6 or B4 depending on which jumper is soldered.
TR-A12/TR-B12,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A12/TR-B12
TR-A13/TR-B13,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A13/TR-B13
TR-A14/TR-B14,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A14/TR-B14
TR-A15/TR-B15,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A15/TR-B15
TR-A16/TR-B16,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A16/TR-B16
TR-A17/TR-B17,MOSFET,-,Either T0-220 or smd output N-MOSFET TR-A17/TR-B17
TR-A18/TR-B18,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A18/TR-B18
TR-A19/TR-B19,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A19/TR-B19
TR-A20/TR-B20,MOSFET,,Either T0-220 or smd output N-MOSFET TR-A20/TR-B20
VR1,voltage regulator,n/a,main power T0-220
VR2,voltage regulator,n/a,main power SMD
VR3,voltage regulator,n/a,extra power SMD
VR4,voltage regulator,n/a,extra power T0-220
X3-1,Connector/Terminal,RB2,RB2.
X3-10,Connector/Terminal,RC7,RC7/ R1out MAX232.
X3-2,Connector/Terminal,RB0,RB0/INT.
X3-3,Connector/Terminal,RA4,RA4/T0CKI.
X3-4,Connector/Terminal,RA3,Ra3/AN3/ CS on Max 6674 T/C chip.
X3-5,Connector/Terminal,RA2,RA2/AN2/ T2in MAX232.
X3-6,Connector/Terminal,RB1,RB1/ SCL for timer or memory chips.
X3-7,Connector/Terminal,RB3,RB3/ SDA for memory and timer chip.
X3-8,Connector/Terminal,RA0,RA0.
X3-9,Connector/Terminal,RC6,RC6/ jumper connection C6SER to use SERIAL jumper.
X4-1,Connector/Terminal,RC3,RC3/SCK/ SCK on MAX232 chip/ Manual input to TR-A11 or TR-B11.
X4-10,Connector/Terminal,RC4,RC4/ SO on MAX6674 T/C chip/ Manual input to TR-A20 or TR-B20.
X4-2,Connector/Terminal,RC2,RC2/ Manual input to TR-A12 or TR-B12.
X4-3,Connector/Terminal,RC1,RC1/ Manual input to TR-A13 or TR-B13.
X4-4,Connector/Terminal,RC0,RC0/ Manual input to TR-A14 or TR-B14.
X4-5,Connector/Terminal,RB5,RB5/ Manual input to TR-A15 or TR-B15.
X4-6,Connector/Terminal,RB4,RB4/ jumper connection B4SER to use serial jumper/ Manual input to TR-A16 or TR-B16.
X4-7,Connector/Terminal,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17.
X4-8,Connector/Terminal,RA1,RA1/ IN/OUT/OW (One wire with power and gnd)/ R2out on MAX232/ Manual input to TR-A18 or TR-B18.
X4-9,Connector/Terminal,RC5,RC5/ Manual input to TR-A19 or TR-B19.
X5-1/ 3 5/ 7/ 9,Output/Terminal,n/a,extra power to power other devices from 5V ALT
X5-2/4/6/8/10,Output/Terminal,n/a,extra ground to power other devices
ZENER,Diode,n/a,optional zener to limit voltage spike to 5.1V on main 5V rail
